Brand,Model,Launch Year,Segment,Fuel Type,Fuel_Type_Group,Variants,Minimum_Price (Lakhs),Maximum_Price (Lakhs),Average_price(Lakhs),Price_INR,Price_Category,Is EV?,Performance,,Notable Features
Toyota,Fortuner,2021,Compact SUV,Petrol/CNG,Hybrid,6,7,18,12.5,1250000,Mid Range,No,23.7 kmpl,23.7,"360 Camera, Airbags, ADAS, Ventilated Seats, Cruise Control, AC, Power Windows, Sunroof, HUD, Voice Control, Wireless Charging"
Mahindra,Marazzo,2018,Electric SUV,Petrol,Petrol,24,12,25,18.5,1850000,Upper Mid,No,24.1 kmpl,24.1,"EBD, ADAS, 360 Camera, ABS, Cruise Control, Touchscreen, Leather Seats, AC, Wireless Charging"
Mahindra,XUV 700,2017,Hatchback,Petrol,Petrol,25,3.5,8.5,6.0,600000,Entry Level,No,21.5 kmpl,21.5,"ABS, 360 Camera, TPMS, EBD, Power Windows, Touchscreen, Cruise Control, Ventilated Seats, HUD, Apple CarPlay"
Mahindra,Bolero,2021,SUV,Petrol,Petrol,8,10,30,20.0,2000000,Upper Mid,No,19.5 kmpl,19.5,"ABS, ADAS, EBD, 360 Camera, Sunroof, Ventilated Seats, Leather Seats, Power Windows, Apple CarPlay, Android Auto"
Lexus,ES,2023,SUV,Petrol,Petrol,14,10,30,20.0,2000000,Upper Mid,No,16.0 kmpl,16,"TPMS, ABS, ADAS, Ventilated Seats, AC, Leather Seats, Android Auto, Wireless Charging"
MG,ZS EV,2023,Sedan,Petrol,Petrol,18,6,15,10.5,1050000,Mid Range,No,20.7 kmpl,20.7,"360 Camera, EBD, Leather Seats, AC, Sunroof, Power Windows, Touchscreen, Android Auto"
MG,Comet EV,2017,Sedan,Electric,EV,25,7.2,19.5,13.4,1335000,Mid Range,Yes,375 km range,375,"TPMS, ADAS, ESC, Ventilated Seats, Sunroof, Leather Seats, AC, Touchscreen, Wireless Charging"
Honda,Elevate,2022,SUV,Petrol,Petrol,8,10,30,20.0,2000000,Upper Mid,No,17.2 kmpl,17.2,"EBD, Hill Hold, Airbags, Sunroof, Ventilated Seats, Cruise Control, Voice Control"
Maruti Suzuki,Ertiga,2016,Hatchback,Diesel,Diesel,9,3.5,8.5,6.0,600000,Entry Level,No,24.6 kmpl,24.6,"ADAS, ESC, ABS, 360 Camera, Leather Seats, Cruise Control, Power Windows, Ventilated Seats, Android Auto, Connected Car"
Tata,Harrier,2019,SUV,Petrol,Petrol,14,10,30,20.0,2000000,Upper Mid,No,16.4 kmpl,16.4,"ADAS, ABS, Hill Hold, Power Windows, Touchscreen, Ventilated Seats, Leather Seats, Apple CarPlay"
BYD,E6,2016,SUV,Petrol,Petrol,4,10,30,20.0,2000000,Upper Mid,No,18.6 kmpl,18.6,"360 Camera, Airbags, Hill Hold, ADAS, Ventilated Seats, Sunroof, Cruise Control, HUD, Apple CarPlay, Wireless Charging"
Citroen,C5 Aircross,2021,Compact SUV,Diesel,Diesel,9,7,18,12.5,1250000,Mid Range,No,24.5 kmpl,24.5,"ESC, 360 Camera, EBD, Airbags, Power Windows, Touchscreen, Leather Seats, Wireless Charging"
Lexus,NX,2020,Compact SUV,Diesel,Diesel,20,7,18,12.5,1250000,Mid Range,No,23.4 kmpl,23.4,"360 Camera, Hill Hold, TPMS, Power Windows, AC, Leather Seats, Apple CarPlay, Connected Car"
Kia,Carens,2022,Hatchback,Electric,EV,25,4.2,11.05,7.6,762500,Entry Level,Yes,258 km range,258,"EBD, 360 Camera, Airbags, Touchscreen, Ventilated Seats, Cruise Control, AC, Sunroof, Voice Control, Android Auto, Apple CarPlay"
Honda,Elevate,2017,Hatchback,Petrol,Petrol,6,3.5,8.5,6.0,600000,Entry Level,No,24.5 kmpl,24.5,"ABS, ADAS, Airbags, EBD, AC, Sunroof, Leather Seats, Power Windows, Voice Control, Wireless Charging"
BMW,2 Series,2021,Hatchback,Petrol,Petrol,7,3.5,8.5,6.0,600000,Entry Level,No,24.8 kmpl,24.8,"ESC, Airbags, Ventilated Seats, AC, Sunroof, HUD, Apple CarPlay, Android Auto"
Mahindra,Bolero,2022,Sedan,Petrol,Petrol,11,6,15,10.5,1050000,Mid Range,No,19.7 kmpl,19.7,"TPMS, ABS, AC, Sunroof, Cruise Control, Leather Seats, Ventilated Seats, Wireless Charging"
Jeep,Compass,2020,Compact SUV,Petrol,Petrol,4,7,18,12.5,1250000,Mid Range,No,24.8 kmpl,24.8,"EBD, ADAS, Power Windows, Sunroof, Ventilated Seats, Voice Control"
Kia,Sonet,2015,Luxury,Petrol,Petrol,21,30,100,65.0,6500000,Luxury,No,23.7 kmpl,23.7,"TPMS, ESC, AC, Leather Seats, Power Windows, Sunroof, HUD, Connected Car, Wireless Charging"
Renault,Triber,2017,Electric SUV,Petrol,Petrol,2,12,25,18.5,1850000,Upper Mid,No,23.3 kmpl,23.3,"360 Camera, EBD, ESC, Ventilated Seats, AC, Leather Seats, Apple CarPlay"
Mahindra,Marazzo,2022,Luxury,Diesel,Diesel,2,30,100,65.0,6500000,Luxury,No,26.3 kmpl,26.3,"EBD, Airbags, Cruise Control, Ventilated Seats, AC, Sunroof, Connected Car, Apple CarPlay"
Jeep,Compass,2020,Hatchback,Petrol,Petrol,8,3.5,8.5,6.0,600000,Entry Level,No,19.4 kmpl,19.4,"ADAS, Hill Hold, EBD, Leather Seats, Sunroof, Power Windows, Touchscreen, Apple CarPlay, Voice Control"
Citroen,C5 Aircross,2021,Compact SUV,Petrol,Petrol,25,7,18,12.5,1250000,Mid Range,No,15.8 kmpl,15.8,"Hill Hold, ABS, 360 Camera, Power Windows, Sunroof, Touchscreen, Voice Control, Connected Car, HUD"
Renault,Triber,2018,Hatchback,Diesel,Diesel,9,3.5,8.5,6.0,600000,Entry Level,No,22.9 kmpl,22.9,"Airbags, Hill Hold, ADAS, Power Windows, Ventilated Seats, Cruise Control, Touchscreen, Sunroof, Voice Control"
Kia,Seltos,2021,Hatchback,Petrol,Petrol,4,3.5,8.5,6.0,600000,Entry Level,No,17.6 kmpl,17.6,"360 Camera, Hill Hold, Power Windows, Touchscreen, AC, Cruise Control, Apple CarPlay, HUD, Android Auto"
Mercedes,A-Class,2021,SUV,Diesel,Diesel,6,10,30,20.0,2000000,Upper Mid,No,23.3 kmpl,23.3,"Hill Hold, Airbags, ADAS, EBD, Touchscreen, Cruise Control, Sunroof, Leather Seats, Voice Control"
Audi,Q5,2016,Sedan,Diesel,Diesel,16,6,15,10.5,1050000,Mid Range,No,19.3 kmpl,19.3,"Hill Hold, 360 Camera, Sunroof, Leather Seats, AC, Touchscreen, Apple CarPlay, HUD, Connected Car"
Maruti Suzuki,Baleno,2017,Electric SUV,Diesel,Diesel,9,12,25,18.5,1850000,Upper Mid,No,25.4 kmpl,25.4,"ADAS, Hill Hold, Ventilated Seats, Power Windows, Sunroof, AC, Leather Seats, Android Auto"
Citroen,C5 Aircross,2018,Sedan,Petrol,Petrol,17,6,15,10.5,1050000,Mid Range,No,23.5 kmpl,23.5,"Airbags, ESC, TPMS, Hill Hold, AC, Sunroof, Touchscreen, Cruise Control, Connected Car, Voice Control, HUD"
Skoda,Kushaq,2019,SUV,Diesel,Diesel,5,10,30,20.0,2000000,Upper Mid,No,19.7 kmpl,19.7,"Hill Hold, Airbags, Touchscreen, AC, Power Windows, Ventilated Seats, Cruise Control, Voice Control, Wireless Charging, Android Auto"
Volkswagen,Polo,2015,Sedan,Diesel,Diesel,4,6,15,10.5,1050000,Mid Range,No,19.9 kmpl,19.9,"ESC, Airbags, EBD, ADAS, Touchscreen, AC, Leather Seats, Ventilated Seats, HUD"
Toyota,Innova,2018,Sedan,Electric,EV,5,7.2,19.5,13.4,1335000,Mid Range,Yes,428 km range,428,"ADAS, TPMS, Sunroof, AC, Touchscreen, Ventilated Seats, Apple CarPlay"
Maruti Suzuki,Fronx,2020,Electric SUV,Petrol/CNG,Hybrid,14,12,25,18.5,1850000,Upper Mid,No,28.4 kmpl,28.4,"TPMS, EBD, 360 Camera, Sunroof, AC, Ventilated Seats, Touchscreen, Power Windows, Wireless Charging"
Hyundai,Exter,2022,Hatchback,Diesel,Diesel,13,3.5,8.5,6.0,600000,Entry Level,No,21.8 kmpl,21.8,"ABS, EBD, Cruise Control, Leather Seats, Ventilated Seats, HUD, Wireless Charging, Voice Control"
Honda,WR-V,2023,SUV,Petrol,Petrol,16,10,30,20.0,2000000,Upper Mid,No,22.2 kmpl,22.2,"360 Camera, EBD, ADAS, Cruise Control, Leather Seats, Power Windows, Voice Control, HUD, Wireless Charging"
Volkswagen,Virtus,2020,Hatchback,Petrol,Petrol,23,3.5,8.5,6.0,600000,Entry Level,No,18.2 kmpl,18.2,"TPMS, Airbags, EBD, Touchscreen, Ventilated Seats, Sunroof, Power Windows, AC, Connected Car, Wireless Charging"
Volkswagen,Polo,2023,Compact SUV,Diesel,Diesel,8,7,18,12.5,1250000,Mid Range,No,18.3 kmpl,18.3,"ADAS, TPMS, Ventilated Seats, Cruise Control, AC, Sunroof, Apple CarPlay"
Volkswagen,Virtus,2015,Sedan,Petrol,Petrol,20,6,15,10.5,1050000,Mid Range,No,15.1 kmpl,15.1,"ABS, EBD, TPMS, Ventilated Seats, Sunroof, AC, Power Windows, Touchscreen, HUD"
BYD,Atto 3,2017,Compact SUV,Petrol,Petrol,10,7,18,12.5,1250000,Mid Range,No,18.4 kmpl,18.4,"ABS, EBD, Power Windows, Ventilated Seats, Sunroof, Voice Control, Wireless Charging, HUD"
Kia,Seltos,2017,Electric SUV,Petrol,Petrol,21,12,25,18.5,1850000,Upper Mid,No,18.2 kmpl,18.2,"ABS, EBD, Touchscreen, Leather Seats, Sunroof, Connected Car"
Renault,Kwid,2021,Compact SUV,Petrol,Petrol,19,7,18,12.5,1250000,Mid Range,No,22.2 kmpl,22.2,"ESC, EBD, TPMS, ADAS, Touchscreen, Leather Seats, Ventilated Seats, AC, Wireless Charging"
